"chemical","mobject"
"http://linked.opendata.cz/resource/domain/irz/latka/zinek-a-sloučeniny-jako-zn-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/zinek-a-sloučeniny-jako-zn-"
"http://linked.opendata.cz/resource/domain/irz/latka/aldrin","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/aldrin"
"http://linked.opendata.cz/resource/domain/irz/latka/dieldrin","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/dieldrin"
"http://linked.opendata.cz/resource/domain/irz/latka/endrin","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/endrin"
"http://linked.opendata.cz/resource/domain/irz/latka/heptachlor","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/heptachlor"
"http://linked.opendata.cz/resource/domain/irz/latka/1-1-2-2-tetrachlorethan","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/1-1-2-2-tetrachlorethan"
"http://linked.opendata.cz/resource/domain/irz/latka/1-2-dichlorethan-dce-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/1-2-dichlorethan-dce-"
"http://linked.opendata.cz/resource/domain/irz/latka/anthracen","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/anthracen"
"http://linked.opendata.cz/resource/domain/irz/latka/bromované-difenylethery-pbde-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/bromované-difenylethery-pbde-"
"http://linked.opendata.cz/resource/domain/irz/latka/chloroalkany-c10-c13","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/chloroalkany-c10-c13"
"http://linked.opendata.cz/resource/domain/irz/latka/di-2-ethyl-hexyl-ftalát-dehp-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/di-2-ethyl-hexyl-ftalát-dehp-"
"http://linked.opendata.cz/resource/domain/irz/latka/ethylbenzen","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/ethylbenzen"
"http://linked.opendata.cz/resource/domain/irz/latka/ethylenoxid","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/ethylenoxid"
"http://linked.opendata.cz/resource/domain/irz/latka/fluor-a-anorganické-sloučeniny-jako-hf-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/fluor-a-anorganické-sloučeniny-jako-hf-"
"http://linked.opendata.cz/resource/domain/irz/latka/fluorid-sírový-sf6-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/fluorid-sírový-sf6-"
"http://linked.opendata.cz/resource/domain/irz/latka/hexabromobifenyl","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/hexabromobifenyl"
"http://linked.opendata.cz/resource/domain/irz/latka/hexachlorbutadien-hcbd-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/hexachlorbutadien-hcbd-"
"http://linked.opendata.cz/resource/domain/irz/latka/isodrin","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/isodrin"
"http://linked.opendata.cz/resource/domain/irz/latka/isoproturon","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/isoproturon"
"http://linked.opendata.cz/resource/domain/irz/latka/kyanovodík-hcn-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/kyanovodík-hcn-"
"http://linked.opendata.cz/resource/domain/irz/latka/nonylfenol-a-nonylfenol-ethoxyláty-np-npe-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/nonylfenol-a-nonylfenol-ethoxyláty-np-npe-"
"http://linked.opendata.cz/resource/domain/irz/latka/oktylfenoly-a-oktylfenol-ethoxyláty","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/oktylfenoly-a-oktylfenol-ethoxyláty"
"http://linked.opendata.cz/resource/domain/irz/latka/oxid-dusný-n2o-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/oxid-dusný-n2o-"
"http://linked.opendata.cz/resource/domain/irz/latka/perfluorouhlovodíky-pfc-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/perfluorouhlovodíky-pfc-"
"http://linked.opendata.cz/resource/domain/irz/latka/sloučeniny-organocínu-jako-celkové-sn-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/sloučeniny-organocínu-jako-celkové-sn-"
"http://linked.opendata.cz/resource/domain/irz/latka/tetrachlormethan-tcm-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/tetrachlormethan-tcm-"
"http://linked.opendata.cz/resource/domain/irz/latka/toxafen","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/toxafen"
"http://linked.opendata.cz/resource/domain/irz/latka/trichlorbenzeny-tcb-všechny-izomery-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/trichlorbenzeny-tcb-všechny-izomery-"
"http://linked.opendata.cz/resource/domain/irz/latka/trichlorethylen","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/trichlorethylen"
"http://linked.opendata.cz/resource/domain/irz/latka/trichlormethan","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/trichlormethan"
